id_dec,length,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
544,8,A0,03,FF,C7,0C,00,53,10
357,8,FD,07,80,00,00,00,06,7C
672,8,48,00,6D,00,B7,0A,9F,03
1349,8,EA,00,00,7C,00,00,00,00
497,8,00,00,00,00,00,00,00,00
688,5,E9,FF,00,07,22
304,8,A1,80,00,FF,05,7D,0E,A0
1349,8,EA,00,00,7C,00,00,00,00
544,8,A0,03,FF,C7,0C,00,53,10
688,5,E9,FF,00,07,33
2,8,00,00,00,00,00,05,0F,D0
320,8,00,00,00,00,0A,00,2F,39
544,8,9F,03,FF,C7,0C,00,4F,10
1264,8,80,00,56,00,00,CB,60,0F
1088,8,FF,00,00,00,FF,00,00,00
1349,8,EA,00,00,7C,00,00,00,00
688,5,E9,FF,00,07,55
608,8,05,08,15,00,58,0A,5F,20
304,8,98,80,00,FF,0C,7D,01,C1
320,8,00,00,00,00,04,23,21,37
688,5,E9,FF,00,07,66
790,8,05,08,00,00,08,15,00,80
1435,8,00,00,00,00,00,00,00,88
320,8,00,00,00,00,06,32,22,EB
544,8,A0,03,FF,C7,0C,00,4B,10
880,8,00,20,00,80,00,00,00,00
304,8,A3,80,00,FF,10,7D,03,0A
688,5,E9,FF,00,07,88
497,8,00,00,00,00,00,00,00,00
898,8,00,00,00,00,00,00,00,4C
305,8,14,80,00,00,88,7B,04,67
688,5,E9,FF,00,07,99
544,8,A0,03,FF,C7,0C,00,50,10
1088,8,FF,00,00,00,FF,00,00,00
305,8,C8,7F,00,00,7E,7B,05,83
848,8,00,20,70,69,69,00,00,50
1264,8,80,00,5C,00,00,CB,60,0F
1680,8,03,00,01,00,00,00,0C,00
688,5,EB,FF,00,07,9B
339,8,00,00,00,FF,00,FF,E0,DE
399,8,FA,2F,00,00,00,62,00,00
1349,8,EA,00,00,7C,00,00,00,00
320,8,00,00,00,00,10,28,27,E9
848,8,00,20,80,69,69,00,00,A0
161,8,80,78,00,00,65,00,00,00
1349,8,EA,00,00,7C,00,00,00,00
320,8,00,00,00,00,12,00,28,7E
339,8,00,00,00,FF,00,FF,10,0E
1087,8,00,40,61,FF,55,00,00,00
688,5,E9,FF,00,07,EE
320,8,00,00,00,00,02,00,29,7B
848,8,00,20,90,69,69,00,00,B0
880,8,00,20,00,80,00,00,00,00
688,5,EB,FF,00,07,DF
320,8,00,00,00,00,02,00,2A,5C
339,8,00,00,00,FF,00,FF,30,2E
1088,8,FF,00,00,00,FF,00,00,00
688,5,E9,FF,00,07,00
320,8,00,00,00,00,02,00,2B,41
1264,8,80,00,62,00,00,CB,60,0F
357,8,FC,07,80,00,00,00,06,7D
1435,8,00,00,00,00,00,00,00,4C
320,8,00,00,00,00,02,00,2C,12
608,8,05,08,15,00,58,0A,5F,20
1349,8,EA,00,00,7C,00,00,00,00
1201,8,00,00,00,00,00,00,00,00
320,8,00,00,00,00,02,00,2D,0F
544,8,9F,03,FF,C7,0C,00,4A,10
1349,8,EA,00,00,7C,00,00,00,00
356,8,00,08,00,00,00,00,02,0A
